stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
34,0.5,2.0,35.24191720003728,,35.225596600037534,35.24191720003728,35.74070720002055,35.74070720002055,35.7573349000304,36.040950099995825,36.34243850002531,left,-2.0,1,1,0.599785799975507,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
35,0.5,2.0,36.35710339999059,,36.34263780002948,36.35710339999059,36.84127199999057,36.84127199999057,36.857785900007,37.14004399999976,37.24306920001982,left,-2.0,0,0,0.39619820000370964,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
36,0.5,2.5,37.25789910001913,,37.24320239998633,37.25789910001913,37.75777620001463,37.75777620001463,37.774309500004165,38.05794989998685,38.158891700033564,right,2.5,1,1,0.3943361000274308,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
37,0.5,2.5,38.17411010002252,,38.15900550002698,38.17411010002252,38.674970699998084,38.674970699998084,38.674970699998084,38.973689100006595,39.20776120002847,right,2.5,1,1,0.5187039999873377,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
38,0.5,2.5,39.22365460003493,,39.20822060003411,39.22365460003493,39.72290090000024,39.72290090000024,39.72290090000024,40.02354650001507,40.275025699986145,left,-2.5,1,1,0.5455744000500999,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
39,0.5,2.0,40.289696599997114,,40.27510600001551,40.289696599997114,40.78975619998528,40.78975619998528,40.78975619998528,41.09014079999179,41.25755249999929,left,-2.0,1,1,0.45402100001228973,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
40,0.5,2.0,41.27277260000119,,41.25769020000007,41.27277260000119,41.771922799991444,41.771922799991444,41.771922799991444,42.073047399986535,42.476952700002585,left,-2.0,0,0,0.6953451000154018,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
41,0.5,2.5,42.490549300040584,,42.47710830002325,42.490549300040584,42.99000380001962,42.99000380001962,42.99000380001962,43.289388700039126,43.59071379998932,right,2.5,1,1,0.5894924000022002,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
42,0.5,2.5,43.606453599990346,,43.59087680000812,43.606453599990346,44.089898200007156,44.089898200007156,44.1064086999977,44.38990090001607,44.65770770004019,right,2.5,1,1,0.5606142000178806,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
43,0.5,2.5,44.673374100006185,,44.657832199998666,44.673374100006185,45.17219280003337,45.17219280003337,45.1895710999961,45.47257779998472,45.60621460003313,right,2.5,1,1,0.42620240000542253,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
44,0.5,2.0,45.62191560002975,,45.60633109998889,45.62191560002975,46.10566400003154,46.10566400003154,46.12082539999392,46.40620349999517,46.690083499997854,left,-2.0,1,1,0.5755221000290476,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
